Existing ID,Title,New Number
H294,A charge to keep I have,H295
H123,A Christian band,H123
H86,A even ere  the sun,
H189,A mighty fortress is our God,H189
H190,A Pilgrim was I,H190
H191,A wonderful Saviour is Jesus,H191
H218,Abide with me,H218
H106,Alas! And did my Saviour,H106
H289,"All glory , laud and honour",H289
H1,All Hail The Power,H1
H2,All My Lifelong I Had,H2
H147,All people that on earth,H147
H219,All the way my saviour,H219
H3,All Things Bright,H3
H63,All to Jesus I Surrender,H63
H296,Almost persuade,
H4,Amazing Grace!,H4
H5,And Can It Be,H5
H70,"Angels , from the realms",H70
H71,As with gladness,H71
H72,Away in a manger,
H193,Be not dismayed,
H201,Be of good courage,
H220,Be thou my vision,
H99,Beneath the Cross of Jesus,
H192,Blessed assurance,
H100,Blessed be the fountain,
H267,Blest be the tie that binds,
H7,Break Thou The Bread,
H241,Breath on me,
H240,Breath upon us,
H73,Brightest and best,
H295,Brightly beams our,
H107,Christ has for sin aton,
H109,Christ the Lord is risen today,
H8,"Christ triumphant, Ever Reigning",
H74,Christian awake!,
H202,"Christian, walk carefully",
H130,Come with thy sins,
H79,"come, all ye faithful",
H129,"Come, every soul by sin",
H9,"Come, Let Us All Unite",
H65,"Come, Thou  Fount",
H64,"Come, Thou Almighty",
H10,"Come, Ye That Love",
H11,Crown him with many,
H12,Dear Lord and Father,
H98,Down at the Cross where,
H221,Down in the valley,
H131,Drinking at the springs,
H265,"Dying with Jesus,",
H197,Encamped along the hills,
H13,Fairest Lord Jesus,
H258,Faith of our Fathers!,
H282,Far away the noise,
H259,"Far, far away in heathen",
H260,"Fear not, I am with thee",
H262,Fight the good fight,
H14,"Fill thou my life, O Lord",
H93,Forty days and forty nights,
H203,From Greenland's icy,
H204,Fully surrendered,
H200,Give of your best,
H15,Glorious things of thee,
H271,God be with you,
H268,God holds the key of all,
H242,God is here and that to bless us,
H16,God of all ages,
H17,"God of all power,and truth",
H112,"Good Christian men, rejoice",
H18,Great is thy Faithfulness,
H222,"Guide me, O thou",
H111,Hallelujah! Hallelujah! Hallelujah!,
H158,Hark my soul!,
H75,Hark the herald angels,
H132,Hark! The voice of Jesus,
H293,Have a Jesus-filled day,
H69,Have thine own way,
H157,Have you any room,
H159,Have you been to Jesus,
H223,He leadeth me! Oh,
H19,"Holy ,  Holy , Holy!",
H224,Holy Spirit. Faithful,
H243,How firm a foundation,
H297,How good is the God,
H66,How I praise thee,
H87,How sweet the Name,
H246,I am not ashamed,
H22,I am pressing on,
H196,I am so glad that,
H244,I am thine O Lord,
H285,I am thinking today of that,
H230,I can hear my Saviour,
H85,I cannot tell why He,
H301,I dare not be defeated,
H88,I gave life for thee,
H148,I have a song that Jesus,
H149,I have founda deep peace,
H160,I hear thy welcome voice,
H133,"I heard an old, old story",
H257,I heard the Saviour say,
H169,I heard the voice of Jesus say,
H171,I know not why God's,
H150,I love to tell the story,
H276,I must needs go home,
H205,I need thee  every hour,
H114,I serve a risen Saviours,
H20,I stand amazed in the presence,
H206,I want to be like Jesus,
H207,I want to walk with Jesus,
H161,I was sinking deep in sin,
H21,I will sing of my redeemer,
H245,I will sing the wondrous,
H151,I would love to tell you,
H172,I'd rather have Jesus,
H23,"Immortal, invisible",
H287,In Christ alone,
H199,In heavenly love,
H173,In tenderness He,
H174,In the Cross of Christ,
H231,Is your life a channel,
H76,It came upon the midnight clear,
H175,Jesus bids us shine,
H162,"Jesus calls us, o'er",
H261,Jesus is all the world,
H134,Jesus is calling: forth,
H156,Jesus is tenderly calling,
H101,Jesus keep me near,
H24,Jesus lover of my soul,
H135,Jesus loves me this,
H77,Jesus my Saviour,
H25,Jesus shall reign,
H26,Jesus the Name high,
H177,"Jesus, Saviour, pilot",
H27,"Jesus, the very thought",
H94,"Jesus, thou joy of loving hearts",
H95,"Jesus, what a beautiful",
H28,"Jesus, where'er thy people",
H176,Jesus! I am resting,
H78,Joy to the world!,
H29,"Joyful, joyful, we adore",
H208,Just as I am,
H299,Just as I am Thine,
H291,King of my life,
H209,"Lead us, heavenly Father",
H277,"Lead, kindly light",
H210,Let me come closer,
H300,Let not thy hands be slack,
H108,"Lord Jesus, I long to be",
H30,"Lord, I am fondly",
H194,"Lord, I come before",
H247,"Lord, in the fullness",
H248,"Lord, speak to me that",
H31,Love Divine all loves,
H32,"Love Divine, so great",
H33,Loved with everlasting love,
H110,Low in the grave He lay,
H34,"Make me a captive, Lord",
H249,Make me a channel,
H89,Man of sorrows!,
H35,Marvelous grace of our,
H36,Meekness and majesty,
H118,Mine eyes have seen,
H37,More about Jesus,
H250,More holiness give me,
H38,More love to thee,
H163,Must I go - and empty - handed?,
H39,My faith looks up to thee,
H178,My grace is sufficient,
H187,My hope is built on,
H40,"My Jesus, I love thee",
H272,Nearer my God to thee,
H283,"Nearer, still nearer",
H232,"Nothing between, Lord",
H41,Now thank we all our God,
H42,O bless the Lord from,
H43,O could I speak the matchless,
H44,O day of rest and gladness,
H46,O God our help in ages past,
H179,O Happy day!,
H47,"O Jesus, I have promised",
H80,O little town of Bethlehem,
H6,O Lord My God,
H269,"O perfect Love, all human",
H126,O sacred head,
H96,O to be like thee,
H48,O worship the King,
H251,"Oh, Breath of Life, come",
H225,"Oh, for a closer walk",
H45,"Oh, for a thousand tongues",
H116,"Oh, now I see the cleansing",
H124,"Oh, spread the tidings",
H102,"Oh, teach me what it",
H211,"Oh, the dee, deep love of Jesus!",
H288,"Oh, to see the dawn",
H49,"Oh, what a wonderful",
H103,On a hill far away,
H121,Once again the Gospel,
H81,Once in royal David's city,
H152,One day when heaven,
H235,"Onward, Christian Soldiers",
H284,Open my eyes that I may,
H226,Out in the highways,
H164,Out of my bondage,
H233,Pass me not,
H153,"Peace, perfect peace",
H50,Praise Him Praise Him!,
H290,"Praise Him, Praise Him",
H52,Praise to the Lord,
H51,"Praise, my soul, the King",
H180,Redeemed how I love to,
H53,"Rejoice, the Lord is King!",
H136,Rescue the perishing,
H236,"Revive thy work, O Lord",
H90,Ride on! Ride on,
H170,Rock of Ages,
H273,Safe in the arms of Jesus,
H137,Saved by the blood,
H227,"Saviour, like a shepherd",
H234,Saviour! thy dying love,
H122,"Send the Light, oh, send",
H138,Shackled by a heavy burden,
H82,Silent night! Holy night!,
H278,Sing the wondrous love,
H139,Sing them over again to me,
H165,"Sinners, Jesus will receive",
H166,Softly and tenderly,
H264,"Soldiers of Christ, arise",
H263,Sound the battle cry,
H140,Sowing in the morning,
H237,Stand up! Stand up,
H188,Standing on the promises,
H274,Sun of my soul,
H239,Sweet hour of prayer!,
H212,"Take my life, and let it be",
H141,Take the name of Jesus,
H213,Take time to be holy,
H83,Tell me the story of Jesus,
H228,Tenderly guide us,
H54,The Church's one foundation,
H55,The God of Abraham,
H142,The great physician,
H281,The head that once,
H56,The King of love my Shepherd,
H182,"The Lord's my Shepherd, I'll",
H298,The Lord's our Rock,
H57,The love of God is greater,
H58,The master hath come,
H252,The Son of God goes,
H270,The voice that breathed,
H104,There is a fountain filled,
H143,There is no love like the love,
H59,There shall be showers,
H127,There were ninety and nine,
H128,There will never be,
H144,There's a  not a friend like,
H120,There's a  work for Jesus,
H119,There's a call comes ringing,
H279,There's a land that is fairer,
H155,There's a peace in my heart,
H115,"Thine be the glory, risen",
H198,Thine for ever: God of love,
H113,This is the day the Lord,
H253,Thou Christ of burning,
H254,Through all the changing,
H229,"Thy way, not mine",
H183,Tis so sweet to trust,
H125,Tis the grandest theme,
H60,To God be the glory,
H238,To the work,
H145,We have heard the joyful,
H61,We praise thee O God,
H255,We rest on thee,
H286,We sing the realms,
H195,What a fellowship,
H256,What a Friend we have,
H105,What can wash away,
H275,When all my labours and trials,
H68,When I saw the cleansing,
H97,When I survey,
H67,When morning gilds the skies,
H184,"When peace, like a river",
H185,When sitting or when,
H266,When the Lord shall come,
H117,When the morning breaks,
H280,When the trumpet of the Lord,
H186,When upon life's billows,
H146,When we walk with the Lord,
H84,While shepherds watched,
H91,Who can cheer the heart like Jesus,
H292,Who have I who have I,
H92,Who is He in yonder stall,
H214,Who is on the Lord's side?,
H215,Whosoever heareth!,
H181,Will your anchor,
H62,With harps and with vials,
H216,"Work, for the night is coming",
H167,Would you be free from your,
H154,Ye servants of God,
H168,Years I spent in vanity and pride,
H217,Yield not to temptation,
